instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_1.txt,AUpdata_corrSergio_100_2475_10_100_1,100,10,100,bvns,42,23748.870334715,3.6904513
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_2.txt,AUpdata_corrSergio_100_2475_10_100_2,100,10,100,bvns,42,24500.55321986,3.5566299
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_3.txt,AUpdata_corrSergio_100_2475_10_100_3,100,10,100,bvns,42,28076.309429,3.2859891
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_1.txt,AUpdata_corrSergio_100_2475_2_100_1,100,2,100,bvns,42,48203.25973393,0.4000045
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_2.txt,AUpdata_corrSergio_100_2475_2_100_2,100,2,100,bvns,42,46625.356857105,0.3726308
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_3.txt,AUpdata_corrSergio_100_2475_2_100_3,100,2,100,bvns,42,55140.785456655,0.3981475
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_1.txt,AUpdata_corrSergio_100_2475_3_100_1,100,3,100,bvns,42,43409.921649165,0.650826
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_2.txt,AUpdata_corrSergio_100_2475_3_100_2,100,3,100,bvns,42,41767.76998289,0.660257
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_3.txt,AUpdata_corrSergio_100_2475_3_100_3,100,3,100,bvns,42,49860.32175114,0.6779471
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_1.txt,AUpdata_corrSergio_100_2475_4_100_1,100,4,100,bvns,42,39155.102936385,0.9333158
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_2.txt,AUpdata_corrSergio_100_2475_4_100_2,100,4,100,bvns,42,37564.201390975,0.9510167
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_3.txt,AUpdata_corrSergio_100_2475_4_100_3,100,4,100,bvns,42,45445.43807418,0.9661931
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_1.txt,AUpdata_corrSergio_100_2475_5_100_1,100,5,100,bvns,42,35438.029295465,2.2890041
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_2.txt,AUpdata_corrSergio_100_2475_5_100_2,100,5,100,bvns,42,33963.35363704,1.2948034
