instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_1.txt,AUpdata_corrSergio_100_2475_10_100_1,100,10,100,rvns,42,23845.79258146,0.4622273
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_2.txt,AUpdata_corrSergio_100_2475_10_100_2,100,10,100,rvns,42,24500.55321986,0.4508388
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_3.txt,AUpdata_corrSergio_100_2475_10_100_3,100,10,100,rvns,42,28076.309429,0.4047647
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_1.txt,AUpdata_corrSergio_100_2475_2_100_1,100,2,100,rvns,42,48203.25973393,0.1460392
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_2.txt,AUpdata_corrSergio_100_2475_2_100_2,100,2,100,rvns,42,46625.356857105,0.1384723
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_3.txt,AUpdata_corrSergio_100_2475_2_100_3,100,2,100,rvns,42,55140.785456655,0.1472626
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_1.txt,AUpdata_corrSergio_100_2475_3_100_1,100,3,100,rvns,42,43409.921649165,0.1787783
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_2.txt,AUpdata_corrSergio_100_2475_3_100_2,100,3,100,rvns,42,41767.76998289,0.2124784
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_3.txt,AUpdata_corrSergio_100_2475_3_100_3,100,3,100,rvns,42,49860.32175114,0.1837501
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_1.txt,AUpdata_corrSergio_100_2475_4_100_1,100,4,100,rvns,42,39155.102936385,0.210653
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_2.txt,AUpdata_corrSergio_100_2475_4_100_2,100,4,100,rvns,42,37564.201390975,0.24297
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_3.txt,AUpdata_corrSergio_100_2475_4_100_3,100,4,100,rvns,42,45445.43807418,0.2124214
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_1.txt,AUpdata_corrSergio_100_2475_5_100_1,100,5,100,rvns,42,35438.029295465,0.2751418
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_2.txt,AUpdata_corrSergio_100_2475_5_100_2,100,5,100,rvns,42,33963.35363704,0.2572752
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_3.txt,AUpdata_corrSergio_100_2475_5_100_3,100,5,100,rvns,42,41638.662915225,0.26594
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_10_100_1.txt,AUpdata_corrSergio_100_4950_10_100_1,100,10,100,rvns,42,11547.309502555,0.4378615
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_10_100_2.txt,AUpdata_corrSergio_100_4950_10_100_2,100,10,100,rvns,42,10845.594196845,0.7868719
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_10_100_3.txt,AUpdata_corrSergio_100_4950_10_100_3,100,10,100,rvns,42,12035.36583344,0.5188575
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_2_100_1.txt,AUpdata_corrSergio_100_4950_2_100_1,100,2,100,rvns,42,26889.078833975,0.1486351
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_2_100_2.txt,AUpdata_corrSergio_100_4950_2_100_2,100,2,100,rvns,42,23867.49279961,0.1541114
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_2_100_3.txt,AUpdata_corrSergio_100_4950_2_100_3,100,2,100,rvns,42,24113.139363825,0.1441658
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_3_100_1.txt,AUpdata_corrSergio_100_4950_3_100_1,100,3,100,rvns,42,23171.537935175,0.1870424
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_3_100_2.txt,AUpdata_corrSergio_100_4950_3_100_2,100,3,100,rvns,42,20590.039066825,0.1899863
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_3_100_3.txt,AUpdata_corrSergio_100_4950_3_100_3,100,3,100,rvns,42,21194.95385061,0.179671
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_4_100_1.txt,AUpdata_corrSergio_100_4950_4_100_1,100,4,100,rvns,42,19990.31170014,0.2195415
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_4_100_2.txt,AUpdata_corrSergio_100_4950_4_100_2,100,4,100,rvns,42,18566.27217269,0.2492531
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_4_100_3.txt,AUpdata_corrSergio_100_4950_4_100_3,100,4,100,rvns,42,18990.04108049,0.2350751
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_5_100_1.txt,AUpdata_corrSergio_100_4950_5_100_1,100,5,100,rvns,42,18071.064618215,0.267699
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_5_100_2.txt,AUpdata_corrSergio_100_4950_5_100_2,100,5,100,rvns,42,16965.061179845,0.2518106
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_5_100_3.txt,AUpdata_corrSergio_100_4950_5_100_3,100,5,100,rvns,42,17353.374518655,0.265256
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_10_100_1.txt,AUpdata_corrSergio_100_7425_10_100_1,100,10,100,rvns,42,8390.13480972,0.6745034
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_10_100_2.txt,AUpdata_corrSergio_100_7425_10_100_2,100,10,100,rvns,42,10481.92965105,0.8672068
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_10_100_3.txt,AUpdata_corrSergio_100_7425_10_100_3,100,10,100,rvns,42,8810.39723026,0.4878864
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_2_100_1.txt,AUpdata_corrSergio_100_7425_2_100_1,100,2,100,rvns,42,16552.58793632,0.1495249
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_2_100_2.txt,AUpdata_corrSergio_100_7425_2_100_2,100,2,100,rvns,42,20852.032806715,0.1432188
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_2_100_3.txt,AUpdata_corrSergio_100_7425_2_100_3,100,2,100,rvns,42,17290.996638155,0.1473413
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_3_100_1.txt,AUpdata_corrSergio_100_7425_3_100_1,100,3,100,rvns,42,14282.731499995,0.1849419
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_3_100_2.txt,AUpdata_corrSergio_100_7425_3_100_2,100,3,100,rvns,42,18616.720105585,0.2140506
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_3_100_3.txt,AUpdata_corrSergio_100_7425_3_100_3,100,3,100,rvns,42,14893.329828755,0.1888057
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_7425_4_100_1.txt,AUpdata_corrSergio_100_7425_4_100_1,100,4,100,rvns,42,13062.084048285,0.2543743
