instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_1.txt,AUpdata_corrSergio_100_2475_10_100_1,100,10,100,rvns,42,31072.85020745,0.0264403
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_2.txt,AUpdata_corrSergio_100_2475_10_100_2,100,10,100,rvns,42,30760.975621155,0.0276081
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_3.txt,AUpdata_corrSergio_100_2475_10_100_3,100,10,100,rvns,42,35124.996859755,0.0262147
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_1.txt,AUpdata_corrSergio_100_2475_2_100_1,100,2,100,rvns,42,51610.22676998,0.0075393
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_2.txt,AUpdata_corrSergio_100_2475_2_100_2,100,2,100,rvns,42,46625.356857105,0.0085589
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_3.txt,AUpdata_corrSergio_100_2475_2_100_3,100,2,100,rvns,42,58060.00409521,0.0087071
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_1.txt,AUpdata_corrSergio_100_2475_3_100_1,100,3,100,rvns,42,44167.103457575,0.0113999
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_2.txt,AUpdata_corrSergio_100_2475_3_100_2,100,3,100,rvns,42,42371.865400185,0.0117461
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_3.txt,AUpdata_corrSergio_100_2475_3_100_3,100,3,100,rvns,42,52412.62792207,0.0115563
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_1.txt,AUpdata_corrSergio_100_2475_4_100_1,100,4,100,rvns,42,41231.486335655,0.014056
