instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_1.txt,AUpdata_corrSergio_100_2475_10_100_1,100,10,100,salazar,42,23748.870334715,5.9001683
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_2.txt,AUpdata_corrSergio_100_2475_10_100_2,100,10,100,salazar,42,24500.55321986,5.0999191
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_10_100_3.txt,AUpdata_corrSergio_100_2475_10_100_3,100,10,100,salazar,42,28076.309429,6.1224011
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_1.txt,AUpdata_corrSergio_100_2475_2_100_1,100,2,100,salazar,42,48203.25973393,0.6688172
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_2.txt,AUpdata_corrSergio_100_2475_2_100_2,100,2,100,salazar,42,46625.356857105,0.6354268
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_2_100_3.txt,AUpdata_corrSergio_100_2475_2_100_3,100,2,100,salazar,42,55140.785456655,0.6947644
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_1.txt,AUpdata_corrSergio_100_2475_3_100_1,100,3,100,salazar,42,43409.921649165,1.208991
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_2.txt,AUpdata_corrSergio_100_2475_3_100_2,100,3,100,salazar,42,41767.76998289,1.1846733
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_3_100_3.txt,AUpdata_corrSergio_100_2475_3_100_3,100,3,100,salazar,42,49860.32175114,1.2299252
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_1.txt,AUpdata_corrSergio_100_2475_4_100_1,100,4,100,salazar,42,39155.102936385,1.8564735
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_2.txt,AUpdata_corrSergio_100_2475_4_100_2,100,4,100,salazar,42,37564.201390975,1.7269786
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_4_100_3.txt,AUpdata_corrSergio_100_2475_4_100_3,100,4,100,salazar,42,45445.43807418,1.7871215
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_1.txt,AUpdata_corrSergio_100_2475_5_100_1,100,5,100,salazar,42,35438.029295465,2.6337996
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_2.txt,AUpdata_corrSergio_100_2475_5_100_2,100,5,100,salazar,42,33963.35363704,2.2710497
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_2475_5_100_3.txt,AUpdata_corrSergio_100_2475_5_100_3,100,5,100,salazar,42,41504.26083157,2.7571703
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_10_100_1.txt,AUpdata_corrSergio_100_4950_10_100_1,100,10,100,salazar,42,11530.97054502,5.8416459
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_10_100_2.txt,AUpdata_corrSergio_100_4950_10_100_2,100,10,100,salazar,42,10845.594196845,5.9539598
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_10_100_3.txt,AUpdata_corrSergio_100_4950_10_100_3,100,10,100,salazar,42,12035.36583344,5.8289814
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_2_100_1.txt,AUpdata_corrSergio_100_4950_2_100_1,100,2,100,salazar,42,26889.078833975,0.7379166
instances\BigInstances100200\P\n=100\AUpdata_corrSergio_100_4950_2_100_2.txt,AUpdata_corrSergio_100_4950_2_100_2,100,2,100,salazar,42,23867.49279961,0.7749857
