Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_ta_ca_60_100_2_100_1,154048.896146619,0.1261384,154048.89614661894,7.595567214,3.7785185333666507e-16,1
AUpdata_ta_ca_60_100_2_100_2,198178.874644064,0.1207467,193282.1255833367,7.617031227,0.025334722732113138,0
AUpdata_ta_ca_60_100_2_100_3,153578.669971454,0.1553859,153578.66997145387,1.494625519,7.58017515378752e-16,1
AUpdata_ta_ca_60_100_2_100_4,156434.435138357,0.1294163,156434.43513835708,14.890715256,-5.581347309687872e-16,1
AUpdata_ta_ca_60_100_2_100_5,153833.212859405,0.1216654,150561.82135243563,6.754226863,0.021727895409233203,0
AUpdata_ta_ca_60_100_2_50_1,153389.384330265,0.1231004,153389.384330265,3.164008714,0.0,1
AUpdata_ta_ca_60_100_2_50_2,154956.647991252,0.1522121,154956.64799125172,1.294027823,1.6903726139287111e-15,1
AUpdata_ta_ca_60_100_2_50_3,228216.809843584,0.1242069,228216.80984358414,8.772757978,-6.376355553449583e-16,1
AUpdata_ta_ca_60_100_2_50_4,140831.695734001,0.1218795,139758.94324445407,11.258335023,0.0076757341222204335,0
AUpdata_ta_ca_60_100_2_50_5,153814.667234057,0.1224351,153583.86325688357,7.712534453,0.0015027879379970498,0
AUpdata_ta_ca_60_100_3_100_1,124966.397376171,0.1840151,124966.39737617056,8.902034952,3.4933987537217047e-15,1
AUpdata_ta_ca_60_100_3_100_2,136478.532474293,0.2814433,136478.53247429302,8.653540734,-2.1324841298550506e-16,1
AUpdata_ta_ca_60_100_3_100_3,138615.114649523,0.1764632,138615.1146495228,8.643102144,1.4697301496466878e-15,1
AUpdata_ta_ca_60_100_3_100_4,119663.959826428,0.2172046,119663.95982642831,5.300492029,-2.553736482053245e-15,1
AUpdata_ta_ca_60_100_3_100_5,108182.584037989,0.1719133,108182.58403798925,9.255092345,-2.286713347458644e-15,1
AUpdata_ta_ca_60_100_3_50_1,122490.034258205,0.3058678,122490.0342582046,11.361233138,3.3264226666422037e-15,1
AUpdata_ta_ca_60_100_3_50_2,157507.941514636,0.2000927,157507.9415146358,9.560230834,1.2934383576983349e-15,1
AUpdata_ta_ca_60_100_3_50_3,138243.935791715,0.1651456,138243.9357917149,9.588466047,6.315755614897198e-16,1
AUpdata_ta_ca_60_100_3_50_4,101924.636354879,0.162773,101924.63635487849,7.467984411,4.996996322062051e-15,1
AUpdata_ta_ca_60_100_3_50_5,145971.906680806,0.1955627,145971.9066808061,9.724603861,-7.975186765320392e-16,1
AUpdata_ta_ca_60_100_4_100_1,120764.23117525,0.2323291,120764.23117524947,2.088275542,4.337947943054294e-15,1
AUpdata_ta_ca_60_100_4_100_2,100118.047984439,0.2918806,100118.04798443874,13.143926145,2.6162563032722687e-15,1
AUpdata_ta_ca_60_100_4_100_3,118958.191691408,0.180695,118958.1916914081,1.723496756,-7.339678766864383e-16,1
AUpdata_ta_ca_60_100_4_100_4,107415.621082392,0.1936432,104368.54376074587,9.973679049,0.029195361091089233,0
AUpdata_ta_ca_60_100_4_100_5,133512.952795695,0.4213072,133512.95279569487,10.866117531,8.719402828658631e-16,1
AUpdata_ta_ca_60_100_4_50_1,107558.05486527,0.2218486,105504.18319968249,11.819586135,0.019467205975143592,0
AUpdata_ta_ca_60_100_4_50_2,86194.6883709665,0.1753393,86194.68837096641,2.334897862,1.0129567496598883e-15,1
AUpdata_ta_ca_60_100_4_50_3,92770.7732133168,0.2647004,92770.77321331676,1.294782438,4.705764991816841e-16,1
AUpdata_ta_ca_60_100_4_50_4,112721.992335739,0.2763146,112721.99233573856,10.788755447,4.001964148537747e-15,1
AUpdata_ta_ca_60_100_4_50_5,98349.7240239296,0.2095896,98349.72402392964,10.817796581,-4.4388274718979995e-16,1
AUpdata_ta_ca_60_100_5_100_1,68733.5715927215,0.3168286,68733.5715927216,8.460669906,-1.2702888755375953e-15,1
AUpdata_ta_ca_60_100_5_100_2,100686.466276225,0.3636841,100686.46627622473,9.333008881,2.601486414192037e-15,1
AUpdata_ta_ca_60_100_5_100_3,90816.583979275,0.3040147,90049.62831587627,13.879555384,0.008517033082117886,0
