Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_ta_ca_80_300_2_100_1,133691.603203246,133691.603203246,133691.603203246,133691.603203246,133691.603203246,133691.6032032461,bvns_random,-8.707751200346753e-16
AUpdata_ta_ca_80_300_2_100_2,184243.613956164,184243.613956164,203552.364281371,184243.613956164,184243.613956164,184243.61395616372,bvns_random,1.4216746430783986e-15
AUpdata_ta_ca_80_300_2_100_3,152493.725054202,152493.725054202,170028.957882999,152493.725054202,152493.725054202,152493.72505420214,bvns_random,-9.54263214646671e-16
AUpdata_ta_ca_80_300_2_100_4,179597.009712763,179597.009712763,197552.191853085,179597.009712763,179597.009712763,179597.00971276258,bvns_random,2.430761277981249e-15
AUpdata_ta_ca_80_300_2_100_5,157110.629563997,157110.629563997,188045.84484618,157110.629563997,157110.629563997,157110.62956399727,bvns_random,-1.6671976608935122e-15
AUpdata_ta_ca_80_300_2_50_1,140312.415973044,140312.415973044,144348.153264668,140312.415973044,140312.415973044,140312.41597304348,bvns_random,3.733589394696555e-15
AUpdata_ta_ca_80_300_2_50_2,170050.104696613,170050.104696613,209754.754842564,170050.104696613,170050.104696613,170050.10469661292,bvns_random,5.134456784132765e-16
AUpdata_ta_ca_80_300_2_50_3,163603.609040143,163603.609040143,174518.780295151,163603.609040143,163603.609040143,163603.60904014332,bvns_random,-1.956815848393159e-15
AUpdata_ta_ca_80_300_2_50_4,155538.623286474,155538.623286474,162525.145860298,155538.623286474,155538.623286474,155538.623286474,bvns_random,0.0
AUpdata_ta_ca_80_300_2_50_5,143064.652177733,143064.652177733,192261.94205436,143064.652177733,143064.652177733,143064.6521777332,bvns_random,-1.4240192115662535e-15
AUpdata_ta_ca_80_300_3_100_1,113531.669896477,113531.669896477,129666.523066741,113531.669896477,113531.669896477,113531.66989647718,bvns_random,-1.5380993065602805e-15
AUpdata_ta_ca_80_300_3_100_2,113330.371778238,113330.371778238,120452.907788464,113330.371778238,113330.371778238,113330.37177823848,bvns_random,-4.237286042578004e-15
AUpdata_ta_ca_80_300_3_100_3,111766.698923632,111629.072654098,125027.055086321,111629.072654098,111766.698923632,111629.07265409769,bvns_greedy,2.737550465393804e-15
AUpdata_ta_ca_80_300_3_100_4,119614.777716507,122832.833504087,133317.469362314,122832.833504087,119614.777716507,119614.77771650691,bvns_random,7.29939001158651e-16
AUpdata_ta_ca_80_300_3_100_5,119365.860788478,119365.860788478,130028.35833028,119365.860788478,119365.860788478,119365.86078847839,bvns_random,-3.1696650402244477e-15
AUpdata_ta_ca_80_300_3_50_1,154031.565722214,154031.565722214,182876.183733198,154031.565722214,154031.565722214,154031.56572221377,bvns_random,1.5115774650617071e-15
AUpdata_ta_ca_80_300_3_50_2,125555.733025098,125555.733025098,137828.327208483,125555.733025098,125555.733025098,125555.73302509794,bvns_random,4.636001838468977e-16
AUpdata_ta_ca_80_300_3_50_3,188209.476447667,188209.476447667,215380.035095426,188209.476447667,188209.476447667,188209.476447667,bvns_random,0.0
AUpdata_ta_ca_80_300_3_50_4,145192.663406152,145192.663406152,151729.579902436,145192.663406152,145192.663406152,145192.66340615222,bvns_random,-1.6035978553721052e-15
AUpdata_ta_ca_80_300_3_50_5,127370.675771457,127370.675771457,153324.189788131,127370.675771457,127370.675771457,127370.6757714567,bvns_random,2.2849710328109733e-15
AUpdata_ta_ca_80_300_4_100_1,102638.458462333,102638.458462333,136141.728831335,102638.458462333,102638.458462333,102638.45846233313,bvns_random,-1.2760054955751776e-15
AUpdata_ta_ca_80_300_4_100_2,120391.131800384,120391.131800384,152282.589303728,127595.979786949,120391.131800384,120391.13180038448,bvns_random,-3.988775546460744e-15
AUpdata_ta_ca_80_300_4_100_3,116391.949039057,116391.949039057,136196.476792522,119587.472867152,116391.949039057,116391.9490390569,bvns_random,8.751757096565701e-16
AUpdata_ta_ca_80_300_4_100_4,113639.424347763,113639.424347763,140848.25709176,113639.424347763,113639.424347763,113639.42434776294,bvns_random,5.122136199435373e-16
AUpdata_ta_ca_80_300_4_100_5,136252.302305518,136252.302305518,160162.302330921,136252.302305518,136252.302305518,136252.30230551824,bvns_random,-1.7088198857131528e-15
AUpdata_ta_ca_80_300_4_50_1,130559.986792142,130559.986792142,141454.97392858,130559.986792142,130559.986792142,130559.986792142,bvns_random,0.0
AUpdata_ta_ca_80_300_4_50_2,117148.275575827,117148.275575827,137199.859221842,117148.275575827,117148.275575827,117148.27557582739,bvns_random,-3.229665943248486e-15
AUpdata_ta_ca_80_300_4_50_3,113352.244532994,113352.244532994,121306.730631609,116986.003106696,112426.537029984,112426.5370299844,salazar,-3.624176614864541e-15
AUpdata_ta_ca_80_300_4_50_4,88769.9309339715,88769.9309339715,112962.66642532,102177.897486827,88769.9309339715,88769.93093397151,bvns_random,-1.6392842796273885e-16
AUpdata_ta_ca_80_300_4_50_5,102387.840846761,102387.840846761,110451.687857171,102387.840846761,102387.840846761,102387.84084676114,bvns_random,-1.4212542337078863e-15
AUpdata_ta_ca_80_300_5_100_1,91805.2648404707,91805.2648404707,107513.43482788,91805.2648404707,91805.2648404707,91805.26484047066,bvns_random,4.755255132803204e-16
AUpdata_ta_ca_80_300_5_100_2,86803.8161787396,86803.8161787396,111112.084937427,86803.8161787396,86803.8161787396,86803.81617873958,bvns_random,1.67641422566062e-16
AUpdata_ta_ca_80_300_5_100_3,106494.696466887,106494.696466887,143897.158894241,112588.338675254,106494.696466887,106494.69646688692,bvns_random,8.198670381425937e-16
AUpdata_ta_ca_80_300_5_100_4,96762.0258562838,98665.7829769069,120465.870607472,98665.7829769069,96762.0258562838,96762.02585628384,bvns_random,-4.51166098464499e-16
AUpdata_ta_ca_80_300_5_100_5,129434.147240958,126263.681085432,150779.069280504,126263.681085432,126263.681085432,126263.68108543249,bvns_greedy,-3.803256790930913e-15
AUpdata_ta_ca_80_300_5_50_1,120320.588848809,120320.588848809,165184.89742332,120320.588848809,120320.588848809,120320.58884880912,bvns_random,-9.675428199010767e-16
AUpdata_ta_ca_80_300_5_50_2,115564.605291173,115564.605291173,132299.584905445,115564.605291173,115564.605291173,115564.60529117333,bvns_random,-2.896164006350836e-15
AUpdata_ta_ca_80_300_5_50_3,93750.4458959098,93750.4458959098,106622.473742707,93750.4458959098,93750.4458959098,93750.44589590975,bvns_random,4.65659072529331e-16
AUpdata_ta_ca_80_300_5_50_4,114966.931791066,118671.592588837,132412.086511071,118671.592588837,114966.931791066,114966.93179106552,bvns_random,4.176968064250151e-15
AUpdata_ta_ca_80_300_5_50_5,105682.185206772,105682.185206772,130743.845388909,105682.185206772,105682.185206772,105682.18520677242,bvns_random,-3.993156848497824e-15
AUpdata_ta_ca_80_400_2_100_1,173554.113892664,175489.969998973,195145.891925928,178552.306772771,173554.113892664,173554.113892674,bvns_random,-5.768643250547001e-14
AUpdata_ta_ca_80_400_2_100_2,142419.147518573,142419.147518573,168967.445933843,142419.147518573,142419.147518573,142419.1475185729,bvns_random,8.174134156487145e-16
AUpdata_ta_ca_80_400_2_100_3,139338.325060876,139338.325060876,166286.47695654,139955.312907211,139338.325060876,139338.32506087603,bvns_random,-2.0887168296316484e-16
AUpdata_ta_ca_80_400_2_100_4,123226.954840027,123226.954840027,168799.522367848,123226.954840027,123226.954840027,123226.95484002659,bvns_random,3.3065300276488104e-15
AUpdata_ta_ca_80_400_2_100_5,120500.991548766,120500.991548766,151043.205176221,120500.991548766,120500.991548766,120500.99154876557,bvns_random,3.6228536482567864e-15
AUpdata_ta_ca_80_400_2_50_1,132596.489685362,132596.489685362,143148.161548841,132596.489685362,132596.489685362,132596.48968536203,bvns_random,-2.194917114758779e-16
AUpdata_ta_ca_80_400_2_50_2,132942.177136665,132942.177136665,146363.808159001,132942.177136665,132942.177136665,132942.17713666454,bvns_random,3.5027355301172742e-15
AUpdata_ta_ca_80_400_2_50_3,148254.326660703,148254.326660703,156656.973748853,148254.326660703,148254.326660703,148254.32666070308,bvns_random,-5.889304773547918e-16
AUpdata_ta_ca_80_400_2_50_4,159520.144029762,159520.144029762,172678.233079715,159520.144029762,159520.144029762,159520.14402976196,bvns_random,3.6489222892506603e-16
AUpdata_ta_ca_80_400_2_50_5,150169.144652166,157754.02458911,176739.421939628,157754.02458911,150169.144652166,150169.14465216605,bvns_random,-3.8761398720284854e-16
