Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_ta_ca_80_300_2_100_1,133691.603203246,0.0056425,133691.6032032461,34.379676372,-8.707751200346753e-16,1
AUpdata_ta_ca_80_300_2_100_2,203552.364281371,0.0052543,184243.61395616372,173.610056406,0.104800106286459,0
AUpdata_ta_ca_80_300_2_100_3,170028.957882999,0.0053192,152493.72505420214,208.932798523,0.11498986481289099,0
AUpdata_ta_ca_80_300_2_100_4,197552.191853085,0.0049868,179597.00971276258,103.009361133,0.09997483905238147,0
AUpdata_ta_ca_80_300_2_100_5,188045.84484618,0.0051562,157110.62956399727,58.190837114,0.19690084221565426,0
AUpdata_ta_ca_80_300_2_50_1,144348.153264668,0.0051438,140312.41597304348,46.175591894,0.028762510171586483,0
AUpdata_ta_ca_80_300_2_50_2,209754.754842564,0.0047131,170050.10469661292,155.161787661,0.23348794884183285,0
AUpdata_ta_ca_80_300_2_50_3,174518.780295151,0.006581,163603.60904014332,29.305116394,0.0667171789121683,0
AUpdata_ta_ca_80_300_2_50_4,162525.145860298,0.0063228,155538.623286474,81.949033782,0.04491824876806387,0
AUpdata_ta_ca_80_300_2_50_5,192261.94205436,0.0049021,143064.6521777332,30.494014714,0.3438815187940879,0
AUpdata_ta_ca_80_300_3_100_1,129666.523066741,0.0064487,113531.66989647718,34.710322995,0.1421176415794487,0
AUpdata_ta_ca_80_300_3_100_2,120452.907788464,0.0070781,113330.37177823848,19.471769203,0.06284754826502016,0
AUpdata_ta_ca_80_300_3_100_3,125027.055086321,0.0079436,111629.07265409769,83.117330254,0.12002233928556684,0
AUpdata_ta_ca_80_300_3_100_4,133317.469362314,0.0074046,119614.77771650691,135.748775131,0.11455684579612033,0
AUpdata_ta_ca_80_300_3_100_5,130028.35833028,0.0079765,119365.86078847839,103.683194177,0.0893261898449845,0
AUpdata_ta_ca_80_300_3_50_1,182876.183733198,0.0071703,154031.56572221377,74.408074271,0.18726433037111168,0
AUpdata_ta_ca_80_300_3_50_2,137828.327208483,0.0067432,125555.73302509794,97.272749328,0.09774618719267752,0
AUpdata_ta_ca_80_300_3_50_3,215380.035095426,0.0072648,188209.476447667,134.669605817,0.1443633931754439,0
AUpdata_ta_ca_80_300_3_50_4,151729.579902436,0.0074178,145192.66340615222,74.569072519,0.045022360930165255,0
AUpdata_ta_ca_80_300_3_50_5,153324.189788131,0.0064198,127370.6757714567,113.9178798,0.20376365171558894,0
AUpdata_ta_ca_80_300_4_100_1,136141.728831335,0.0091989,102638.45846233313,119.658172407,0.3264202412129669,0
AUpdata_ta_ca_80_300_4_100_2,152282.589303728,0.0096389,120391.13180038448,127.663675263,0.2648987265625296,0
AUpdata_ta_ca_80_300_4_100_3,136196.476792522,0.0092487,116391.9490390569,131.776890735,0.17015375992045148,0
AUpdata_ta_ca_80_300_4_100_4,140848.25709176,0.0082347,113639.42434776294,135.861774118,0.23943127924277172,0
AUpdata_ta_ca_80_300_4_100_5,160162.302330921,0.0094996,136252.30230551824,112.658361491,0.17548327346270753,0
AUpdata_ta_ca_80_300_4_50_1,141454.97392858,0.0097816,130559.986792142,102.133715186,0.08344813295503294,0
AUpdata_ta_ca_80_300_4_50_2,137199.859221842,0.0085349,117148.27557582739,96.620319246,0.17116413833198663,0
AUpdata_ta_ca_80_300_4_50_3,121306.730631609,0.008542,112426.5370299844,125.118886799,0.07898663283790572,0
AUpdata_ta_ca_80_300_4_50_4,112962.66642532,0.0087522,88769.93093397151,117.525355158,0.2725329989199094,0
AUpdata_ta_ca_80_300_4_50_5,110451.687857171,0.0088455,102387.84084676114,95.272194871,0.07875785780538742,0
AUpdata_ta_ca_80_300_5_100_1,107513.43482788,0.0112764,91805.26484047066,112.241918664,0.17110314985426292,0
AUpdata_ta_ca_80_300_5_100_2,111112.084937427,0.0114723,86803.81617873958,101.081152616,0.2800368673726712,0
AUpdata_ta_ca_80_300_5_100_3,143897.158894241,0.0098951,106494.69646688692,137.04018511,0.351214320226584,0
AUpdata_ta_ca_80_300_5_100_4,120465.870607472,0.0109284,96762.02585628384,114.189094847,0.24497052993076412,0
