Instancia,Tipo,n,n_seeds,F_media,F_desvio,F_melhor,F_pior,SOTA,Dev_media,Dev_melhor
AUpdata_corrSergio_100_2475_10_100_1,P,100,10,28926.2020483,1598.051277317922,27240.053540515,31694.77312931,23748.870334715004,0.21800328355058693,0.14700417984499858
AUpdata_corrSergio_100_2475_10_100_2,P,100,10,29923.9645871895,2135.7063133849124,26053.961031695,33437.288650475,24500.553219859994,0.2213587309095259,0.06340296881850904
AUpdata_corrSergio_100_2475_10_100_3,P,100,10,34543.95649654,2030.9326006837966,31008.33940234,36705.48736023,28076.309428999997,0.23035958781888813,0.10443074723743823
AUpdata_corrSergio_100_2475_2_100_1,P,100,10,52940.0384302125,1797.9126644586493,50712.242103405,56611.36329395,48203.25973392999,0.09826677121896638,0.05205005601952995
AUpdata_corrSergio_100_2475_2_100_2,P,100,10,49848.8963585345,3102.1174385325094,46625.356857105,56324.11711183,46625.35685710501,0.06913704727899074,-3.121030316821984e-16
AUpdata_corrSergio_100_2475_2_100_3,P,100,10,58539.774128934,2183.988904685804,55140.785456655,62493.630525345,55140.785456655,0.06164200680367291,0.0
AUpdata_corrSergio_100_2475_3_100_1,P,100,10,46520.4704627195,1746.1020925040687,44167.103457575,49234.422759125,43409.92164916502,0.07165525058288859,0.017442597904908767
AUpdata_corrSergio_100_2475_3_100_2,P,100,10,45415.4337150345,2640.295804437301,42371.865400185,49575.425215025,41767.76998288999,0.08733202020693852,0.014463195366725903
AUpdata_corrSergio_100_2475_3_100_3,P,100,10,52758.88448795,1514.2012910111682,50714.19552652,54744.522641435,49860.321751139985,0.05813365487846548,0.017125316191135356
AUpdata_corrSergio_100_2475_4_100_1,P,100,10,43277.3806289845,2218.8093529189664,39155.102936385,45928.17389411,39155.102936384996,0.10528072673686849,1.8582399402715452e-16
AUpdata_corrSergio_100_2475_4_100_2,P,100,10,41753.0837797845,1946.1511089161284,38819.4960269,45490.03016722,37564.201390974995,0.11151261663227875,0.03341731194707621
AUpdata_corrSergio_100_2475_4_100_3,P,100,10,49852.4284123595,997.811797369808,48752.69588478,51343.140022495,45445.43807417998,0.09697321722338871,0.07277425305487477
AUpdata_corrSergio_100_2475_5_100_1,P,100,10,40292.275235341,2336.9166005360253,37168.48687399,44236.42150456,35438.029295465,0.13697843916216867,0.048830525086406104
AUpdata_corrSergio_100_2475_5_100_2,P,100,10,38834.308262305,1398.2985657368185,36126.054926105,40506.19079708,33963.35363704,0.14341795210567176,0.06367749522551208
AUpdata_corrSergio_100_2475_5_100_3,P,100,10,46917.1601368555,1868.6728802371465,43781.682272575,49452.938629235,41504.26083157001,0.1304179184699078,0.05487199134197519
AUpdata_corrSergio_100_4950_10_100_1,P,100,10,14557.739626553499,542.007502081652,13752.254590165,15400.16642038,11530.970545020004,0.26249040093513176,0.19263634717238298
AUpdata_corrSergio_100_4950_10_100_2,P,100,10,13727.4527276315,772.2442790177614,12506.029095265,14720.86658716,10845.594196845004,0.26571697949244977,0.15309764207322246
AUpdata_corrSergio_100_4950_10_100_3,P,100,10,14622.1315667505,510.8997602336995,13734.40779546,15505.872270935,12035.365833439999,0.21493037844543372,0.14117077831562463
AUpdata_corrSergio_100_4950_2_100_1,P,100,10,28216.879214865,896.5338592031541,26909.164607365,29703.68203158,26889.078833975003,0.04938065707227902,0.0007469862955892198
AUpdata_corrSergio_100_4950_2_100_2,P,100,10,25490.637851529,1163.6569975336884,23867.49279961,27600.31069124,23867.49279961,0.06800651687828403,0.0
AUpdata_corrSergio_100_4950_2_100_3,P,100,10,25512.7416376375,1036.54675420315,24251.72873248,26790.19647794,24113.139363825012,0.058043137921402234,0.005747462682644476
AUpdata_corrSergio_100_4950_3_100_1,P,100,10,25143.8459445505,1040.1239032266997,24266.19260035,27481.06971668,23171.537935175,0.08511769977863587,0.04724134704556166
AUpdata_corrSergio_100_4950_3_100_2,P,100,10,23482.109210661,692.018708172563,22331.945538435,24340.25713484,20590.03906682502,0.1404596724877385,0.08459947385027394
AUpdata_corrSergio_100_4950_3_100_3,P,100,10,22462.338499876998,734.3047482270172,21194.95385061,23474.59699368,21194.95385061,0.05979652789998985,0.0
AUpdata_corrSergio_100_4950_4_100_1,P,100,10,23319.772291348,483.61248316929425,22492.396613915,23942.869925325,19990.311700140002,0.16655371067499058,0.1251648774319749
AUpdata_corrSergio_100_4950_4_100_2,P,100,10,21039.691543287,857.156527985574,19650.97336636,22420.939934245,18566.27217269001,0.1332211090945472,0.05842320868620735
AUpdata_corrSergio_100_4950_4_100_3,P,100,10,21085.192717895,1147.6426989101806,19698.18435961,23473.064982765,18990.041080490006,0.1103289681430711,0.037290244719245365
AUpdata_corrSergio_100_4950_5_100_1,P,100,10,21408.1712728255,944.1360659520743,19587.825785475,23322.03022015,18071.06461821503,0.1846657474317688,0.08393313837919245
AUpdata_corrSergio_100_4950_5_100_2,P,100,10,19200.2297323815,961.0075474421342,17698.068961145,20453.78567187,16965.061179845008,0.13175128158051902,0.043206904680710874
AUpdata_corrSergio_100_4950_5_100_3,P,100,10,19468.225896775,1018.8191963727903,17922.468855195,20859.10220747,17353.374518655008,0.12186974791828009,0.03279444789992921
AUpdata_corrSergio_100_7425_10_100_1,P,100,10,10012.0424663615,633.5831176906461,9194.00514012,11027.192110775,8390.134809720003,0.1933112748990053,0.09581137235944177
AUpdata_corrSergio_100_7425_10_100_2,P,100,10,12948.6162551315,528.452053860695,12373.980259295,14226.42304663,10481.929651050003,0.23532752901412596,0.18050594415651947
AUpdata_corrSergio_100_7425_10_100_3,P,100,10,10629.018059515502,525.5036388244866,9788.412134295,11658.50420777,8810.39723026,0.20641757479552753,0.1110069022399957
AUpdata_corrSergio_100_7425_2_100_1,P,100,10,17900.8283970245,889.3496136807922,16895.232727975,19515.04756322,16552.587936320004,0.08145194370157434,0.020700375855014025
AUpdata_corrSergio_100_7425_2_100_2,P,100,10,22514.64592457,1056.79794180847,21325.60422969,24793.480663795,20852.032806715004,0.07973386255749519,0.022711043444286767
AUpdata_corrSergio_100_7425_2_100_3,P,100,10,18154.0819829355,702.7252647433454,17290.996638155,19313.10223352,17290.996638155004,0.04991530348666983,-2.1039728843992737e-16
AUpdata_corrSergio_100_7425_3_100_1,P,100,10,15716.0684933635,1018.3029810411662,14410.499201855,17620.8594121,14282.731499995012,0.10035454306264796,0.008945606928200853
AUpdata_corrSergio_100_7425_3_100_2,P,100,10,19969.1359470805,500.321101963588,19156.710758965,20474.558029085,18616.72010558501,0.07264522610992935,0.029005681468992718
AUpdata_corrSergio_100_7425_3_100_3,P,100,10,16489.5041337165,830.8149321143138,15161.20981505,17937.07441007,14893.329828754997,0.10717376995705287,0.01798657448502884
AUpdata_corrSergio_100_7425_4_100_1,P,100,10,14286.058500507,694.225490095832,13505.88818271,15834.381533775,13062.084048285044,0.09370437731815515,0.033976518049064625
AUpdata_corrSergio_100_7425_4_100_2,P,100,10,18465.6423643875,667.0741957451806,17593.853272255,19822.78286305,16550.86834381,0.11569024541806712,0.06301693100199628
AUpdata_corrSergio_100_7425_4_100_3,P,100,10,15005.191036171,664.5854340589534,14170.812514805,15803.26439514,13309.209942295005,0.12742913375243853,0.06473731921321114
AUpdata_corrSergio_100_7425_5_100_1,P,100,10,13338.202710515001,872.7667435700807,12284.47857352,14748.66168833,11831.381562595261,0.12735800463772826,0.03829620476083695
AUpdata_corrSergio_100_7425_5_100_2,P,100,10,16980.718369751,612.8827395283585,16312.876385185,18377.490526905,15172.827987134999,0.11915315880130636,0.07513750231773834
AUpdata_corrSergio_100_7425_5_100_3,P,100,10,14246.8203736575,1100.5192175370087,12395.01748033,15715.424837635,12330.267613615002,0.15543480645353167,0.005251294517201003
AUpdata_corrSergio_200_19900_10_100_1,P,200,10,29091.6232159115,1045.223356040822,27641.3152179,31594.57387436,25393.79960597501,0.14561915378218593,0.08850647192616896
AUpdata_corrSergio_200_19900_10_100_2,P,200,10,31814.842231449,973.768879259413,30361.872794785,33100.97107794,26891.378759235013,0.18308705984527393,0.12905600960895885
AUpdata_corrSergio_200_19900_10_100_3,P,200,10,34024.875839216,1281.5444422537137,32311.97503098,36478.215275385,28194.33963988501,0.20679811174165072,0.14604475379412662
AUpdata_corrSergio_200_19900_2_100_1,P,200,10,43610.19994112399,2073.6630481271677,40375.96342249,46811.575921645,40375.96342249,0.08010301784730842,0.0
AUpdata_corrSergio_200_19900_2_100_2,P,200,10,49012.517983955004,2147.6445775264087,46992.09705093,52785.978586515,45119.060538355,0.08629296353123837,0.04151319841827745
AUpdata_corrSergio_200_19900_2_100_3,P,200,10,50211.92178554603,1375.5818741553705,48406.708498245,53420.07677983,47980.88825655997,0.04649837904326483,0.008874788632676352
AUpdata_corrSergio_200_19900_3_100_1,P,200,10,41278.9240927085,1942.116604944057,38138.895568385,43362.634590075,36889.949437215015,0.11897480811035847,0.033856000081963614
AUpdata_corrSergio_200_19900_3_100_2,P,200,10,44921.028121041,2292.5884836189553,41103.89299156,47509.88142608,40095.13461498498,0.1203610750380775,0.025159121830158795
AUpdata_corrSergio_200_19900_3_100_3,P,200,10,47442.58803419254,1607.6918872704025,44082.8487137401,49659.8866635851,42542.86328963,0.11517148507859998,0.03619844328826555
