Faixa,n,Tipo,Metodo,n_inst,Avg_F(S),T(sec),Dev_med_%,Dev_melhor_%,#Opt,F_desvio_med
grandes,100,P,GRASP,45,24244.562939549443,3.385739038666667,-7.357675384345985e-14,-7.357675384345985e-14,45,0.0
grandes,100,P,BVNS-R,45,24244.74560649682,2.084260082666667,0.0013168932913658507,-7.357675384345985e-14,45,0.5776436069438995
grandes,100,P,BVNS-G,45,24247.13589703199,1.088288336888889,0.013836390358821674,-7.357675384345985e-14,45,3.7677952336291076
grandes,100,P,RVNS-R,45,27016.39982045111,0.01996290577777778,12.795338918442189,5.47251726237595,6,1191.4352042383416
grandes,100,P,RVNS-G,45,24257.559326959,0.37726083822222223,0.0802722829554832,-7.357675384345985e-14,45,17.6855632840584
grandes,100,R,GRASP,45,379276.46775780217,4.227315746666666,0.023319085569203347,-1.95399197107011e-16,45,177.26896932909793
grandes,100,R,BVNS-R,45,379554.44613052596,2.4769259204444443,0.09418489445194968,-1.95399197107011e-16,45,741.1334764857975
grandes,100,R,BVNS-G,45,381103.5301262981,1.2521714195555556,0.481893136507475,-1.95399197107011e-16,45,1775.0891343940982
grandes,100,R,RVNS-R,45,463364.71729693445,0.020712036666666666,24.529988496201916,11.368338153511298,5,32919.65338304774
grandes,100,R,RVNS-G,45,382473.82779968955,0.399456566,0.8742628145812383,0.23937150356251458,39,1902.5782885701901
grandes,200,P,GRASP,45,40808.820910383,17.53546043288889,-0.0946437489697274,-0.0946437489697274,45,0.0
grandes,200,P,BVNS-R,45,40811.54265729709,9.986105099777777,-0.08680215287717043,-0.0946437489697274,45,6.818631014721963
grandes,200,P,BVNS-G,45,40866.93110993189,5.035353940444445,0.09028347970292218,-0.0946437489697274,45,61.25387702572944
grandes,200,P,RVNS-R,45,45580.749663340335,0.08616346533333333,12.195306127995973,6.039913243974414,5,1746.3455255588378
grandes,200,P,RVNS-G,45,40894.8016386014,1.7180137855555555,0.17833398299330647,-0.08865497749471862,44,58.466890727129524
grandes,200,R,GRASP,45,942891.8136787965,23.44672682311111,,,,755.0114073293189
grandes,200,R,BVNS-R,45,946742.7309709862,13.276680873111111,,,,4587.165272609919
grandes,200,R,BVNS-G,45,947221.160749241,6.2870732406666665,,,,3179.2960757157553
grandes,200,R,RVNS-R,45,1153598.4752860172,0.089295684,,,,64738.35034844513
grandes,200,R,RVNS-G,45,950225.6870365021,1.9186865793333334,,,,4730.443696310621
grandes,500,P,GRASP,45,101538.00746451899,173.87727794066666,,,,8.862974693186468
grandes,500,P,BVNS-R,45,101546.48211324833,91.31284073977778,,,,28.8171749553839
grandes,500,P,BVNS-G,45,101586.43157224858,45.58537168644445,,,,72.0369469234341
grandes,500,P,RVNS-R,45,112276.51353871266,0.5976446971111111,,,,3074.770938521658
grandes,500,P,RVNS-G,45,101651.91120763926,13.675022643777778,,,,109.34636686271332
grandes,500,R,GRASP,45,3476224.7814123747,207.95325188066667,,,,4320.7935429709105
grandes,500,R,BVNS-R,45,3487374.223906222,103.371266344,,,,13064.12274172924
grandes,500,R,BVNS-G,45,3485609.4049409744,49.29993173022222,,,,9174.34261364533
grandes,500,R,RVNS-R,45,4159524.0183573635,0.6043110097777777,,,,178037.11829825895
grandes,500,R,RVNS-G,45,3490940.630819708,14.687322636222222,,,,13040.94087177361
